"T2ErrorRateBetaMidterm1","T2ErrorRateBetaMidterm2","T2ErrorRateBetaLab1","T2ErrorRateBetaLab2","T1ErrorRateBeta1","T1ErrorRateBeta2","T1ErrorRatePillai","g","d","z"
0.02425,0.11195,0.23295,0.76145,0.052,0.04945,0.05005,0,0,0
0.02425,0.11195,0.23295,0.76145,0.052,0.04945,0.05005,0,0,0
0.0249,0.11155,0.24085,0.7676,0.15825,0.16475,0.21525,0.02,0,0
0.02605,0.1144,0.2429,0.761,0.24945,0.26195,0.3599,0.04,0,0
0.02515,0.1116,0.2384,0.76975,0.32125,0.32425,0.4633,0.06,0,0
0.0244,0.1138,0.2422,0.7738,0.3745,0.3786,0.54065,0.08,0,0
0.0248,0.1156,0.24065,0.7704,0.4205,0.41675,0.5992,0.1,0,0
0.0228,0.11955,0.24705,0.7735,0.10455,0.1064,0.1293,0,0.02,0
0.0249,0.1171,0.2507,0.7723,0.2119,0.20805,0.28735,0.02,0.02,0
0.02485,0.12315,0.24405,0.7672,0.2845,0.2942,0.40985,0.04,0.02,0
0.0244,0.11755,0.24885,0.77235,0.3455,0.34995,0.5023,0.06,0.02,0
0.0247,0.1191,0.2423,0.77415,0.3958,0.39725,0.56855,0.08,0.02,0
0.0225,0.1194,0.24505,0.77145,0.4362,0.4351,0.62125,0.1,0.02,0
0.02705,0.1196,0.251,0.7741,0.15975,0.16095,0.21225,0,0.04,0
0.02565,0.12145,0.25075,0.77745,0.2487,0.25115,0.3518,0.02,0.04,0
0.0273,0.12065,0.24755,0.76915,0.32075,0.31845,0.45655,0.04,0.04,0
0.02605,0.1207,0.24805,0.7711,0.36975,0.37345,0.53265,0.06,0.04,0
0.02555,0.12095,0.25265,0.7715,0.4142,0.413,0.59425,0.08,0.04,0
0.026,0.1201,0.24805,0.7698,0.4496,0.4491,0.6407,0.1,0.04,0
0.02885,0.13055,0.2519,0.78125,0.20745,0.20825,0.2832,0,0.06,0
0.02795,0.12095,0.2521,0.7748,0.2862,0.287,0.4059,0.02,0.06,0
0.02655,0.1234,0.25575,0.77865,0.3454,0.34565,0.49465,0.04,0.06,0
0.02755,0.12625,0.2574,0.77585,0.3952,0.39155,0.5637,0.06,0.06,0
0.0292,0.121,0.2555,0.77685,0.43115,0.4311,0.61445,0.08,0.06,0
0.0286,0.12465,0.2493,0.7713,0.4653,0.4621,0.65565,0.1,0.06,0
0.02975,0.1271,0.2548,0.7767,0.2463,0.2468,0.34635,0,0.08,0
0.0261,0.1267,0.26025,0.7798,0.31195,0.3143,0.45075,0.02,0.08,0
0.0282,0.1274,0.26025,0.7808,0.37005,0.36365,0.529,0.04,0.08,0
0.02785,0.128,0.2618,0.77945,0.41365,0.4094,0.58675,0.06,0.08,0
0.02715,0.12625,0.24785,0.7689,0.4426,0.4488,0.63565,0.08,0.08,0
0.0285,0.1297,0.2599,0.77335,0.47475,0.4773,0.6714,0.1,0.08,0
0.03155,0.13355,0.26175,0.77615,0.27915,0.2825,0.40225,0,0.1,0
0.03135,0.13145,0.2641,0.78015,0.34215,0.33745,0.4875,0.02,0.1,0
0.02945,0.13075,0.26665,0.78145,0.39095,0.3878,0.55515,0.04,0.1,0
0.0315,0.1299,0.2618,0.78,0.43295,0.42375,0.60895,0.06,0.1,0
0.0287,0.126,0.26295,0.77555,0.461,0.46095,0.6511,0.08,0.1,0
0.02905,0.13205,0.26135,0.7763,0.48705,0.48805,0.68595,0.1,0.1,0
